gene	chrom	start	end	strand
A1BG	19	58856548	58864858	-
A1BG-AS1	19	58863335	58866549	+
A1CF	10	52559168	52645435	-
A2M	12	9220303	9268825	-
A2M-AS1	12	9217772	9220651	+
A2ML1	12	8975216	9029383	+
A2MP1	12	9381128	9386803	-
A3GALT2	1	33772366	33786699	-
A4GALT	22	43088117	43117307	-
A4GNT	3	137842554	137851232	-
AA06	17	31856805	31860779	-
AAAS	12	53701243	53715394	-
AACS	12	125549980	125627862	+
AACSP1	5	178191861	178245436	-
AADAC	3	151531903	151546276	+
AADACL2	3	151451714	151479126	+
AADACL2-AS1	3	151468966	151645963	-
AADACL3	1	12776112	12788727	+
AADACL4	1	12704103	12727087	+
AADACP1	3	151488243	151502682	+
AADAT	4	170981372	171011538	-
AAGAB	15	67493004	67547536	-
AAK1	2	69685128	69870871	-
AAMDC	11	77532159	77611831	+
AAMP	2	219128851	219134860	-
AANAT	17	74449432	74466199	+
AAR2	20	34824338	34844863	+
AARD	8	117950445	117956726	+
AARS1	16	70286200	70323409	-
AARS2	6	44266467	44281084	-
AARSD1	17	41102542	41116471	-
AASDH	4	57204450	57253674	-
AASDHPPT	11	105948388	105969422	+
AASS	7	121713603	121784303	-
AATBC	21	45225638	45232448	-
AATF	17	35306253	35414171	+
AATK	17	79091095	79140021	-
ABALON	20	30309309	30311212	+
ABAT	16	8768473	8878432	+
ABCA1	9	107543286	107690436	-
ABCA10	17	67144147	67240989	-
ABCA11P	4	419223	467998	-
ABCA12	2	215796265	216003349	-
ABCA13	7	48211054	48687093	+
ABCA17P	16	2390922	2476700	+
ABCA2	9	139901685	139923374	-
ABCA3	16	2325881	2390729	-
ABCA4	1	94458389	94586704	-
ABCA5	17	67240451	67323274	-
ABCA6	17	67074842	67138036	-
ABCA7	19	1040105	1065570	+
ABCA8	17	66863427	66951533	-
ABCA9	17	66970628	67057068	-
ABCA9-AS1	17	67000854	67014464	+
ABCB1	7	87132332	87342639	-
ABCB10	1	229652328	229694454	-
ABCB11	2	169777290	169887834	-
ABCB4	7	87031011	87105019	-
ABCB5	7	20655289	20796631	+
ABCB6	2	220074493	220083680	-
ABCB7	X	74270882	74376118	-
ABCB8	7	150725508	150744869	+
ABCB9	12	123405494	123451056	-
ABCC1	16	16043472	16236910	+
ABCC10	6	43395278	43418165	+
ABCC11	16	48199683	48281450	-
ABCC12	16	48116883	48180681	-
ABCC13	21	15646119	15673692	+
ABCC2	10	101542396	101612351	+
ABCC3	17	48712241	48769614	+
ABCC4	13	95672088	95953705	-
ABCC5	3	183637723	183735672	-
ABCC5-AS1	3	183724125	183729207	+
ABCC6	16	16243421	16317351	-
ABCC6P1	16	18582569	18609607	+
ABCC6P2	16	14916283	14918559	-
ABCC8	11	17414044	17498392	-
ABCC9	12	21950323	22094360	-
ABCD1	X	152990310	153010209	+
ABCD2	12	39943834	40013605	-
ABCD3	1	94883932	94984219	+
ABCD4	14	74751971	74769637	-
ABCE1	4	146019462	146050676	+
ABCF1	6	30539218	30559299	+
ABCF2	7	150908569	150924291	-
ABCF2-H2BE1	7	150904922	150924291	-
ABCF3	3	183903862	183911795	+
ABCG1	21	43619798	43717354	+
ABCG2	4	89011415	89152778	-
ABCG4	11	119019761	119033374	+
ABCG5	2	44039610	44065978	-
ABCG8	2	44066109	44110127	+
ABHD1	2	27346682	27353680	+
ABHD10	3	111697872	111712215	+
ABHD11	7	73150424	73153197	-
ABHD11-AS1	7	73149398	73150330	+
ABHD12	20	25275378	25371471	-
ABHD12B	14	51338770	51371688	+
ABHD13	13	108870739	108886591	+
ABHD14A	3	52009079	52015212	+
ABHD14A-ACY1	3	52009079	52023213	+
ABHD14B	3	52002525	52008646	-
ABHD15	17	27887564	27894055	-
ABHD16A	6	31654731	31671101	-
ABHD16B	20	62492850	62494341	+
ABHD17A	19	1876808	1885495	-
ABHD17B	9	74477367	74526161	-
ABHD17C	15	80987650	81047962	+
ABHD18	4	128886560	128961082	+
ABHD2	15	89631686	89745586	+
ABHD3	18	19230857	19284735	-
ABHD4	14	23067146	23081265	+
ABHD5	3	43732361	43775863	+
ABHD6	3	58223228	58280463	+
ABHD8	19	17402939	17414234	-
ABI1	10	27035524	27150016	-
ABI2	2	204193116	204296892	+
ABI3	17	47287588	47300587	+
ABI3BP	3	100467999	100712265	-
ABITRAM	9	111696679	111703234	+
ABL1	9	133589267	133763062	+
ABL2	1	179068464	179198819	-
ABLIM1	10	116190868	116528063	-
ABLIM2	4	7967053	8160540	-
ABLIM3	5	148521009	148640105	+
ABO	9	136125787	136150617	-
ABR	17	906758	1133016	-
ABRA	8	107771710	107782472	-
ABRACL	6	139349881	139364439	+
ABRAXAS1	4	84380669	84406253	-
ABRAXAS2	10	126490387	126525236	+
ABT1	6	26597180	26600967	+
ABTB1	3	127391780	127399769	+
ABTB2	11	34172533	34379557	-
ACAA1	3	38164200	38178733	-
ACAA2	18	47308533	47339903	-
ACACA	17	35441926	35766927	-
ACACB	12	109554391	109706030	+
